"","Origin","Destination","year","N","corridor","z1","dejure_dummy","infants","deaths","birthplace_dummy","quality","cont_dummy","popS","popR","mstS","mstR","imports","exports","GDPS","GDPR","unempS","unempR","pvS","pvR","schoolyS","schoolyR","lifeexpectancyS","lifeexpectancyR","language_dummy"
"31","Africa","Argentina",0,31,31,4.47561157701882,0,0.863386990430873,0.852638544204222,0,1,1,19.1993066110476,17.7375737793971,8.56434602676071,5.87938277875451,22.0034759210477,23.0392051597916,7.50818338233818,9.65278601457479,1.55508131068166,1.63966321427192,-1.42709663400962,0.00330816953211999,2.14288453925407,1.77415500230465,4.19484942016369,4.33679299841468,1
"32","Asia","Argentina",0,32,32,4.94829917453172,0,0.935064742874854,2.91774752301719,0,3,0,19.5142579548509,17.8828934000275,7.91146704468308,5.26323648966539,15.9142829703469,15.4135010204291,7.41237752131805,7.43376314812132,2.18561850451759,1.44255801353999,-0.841529859026759,-0.13219621616993,2.15271021809726,1.57888065063689,4.32688996172176,4.37514589971634,1
"33","Europe","Argentina",0,33,33,5.85155859238512,0,0.35948411069446,0.690646608404187,0,2,0,15.7199340214129,15.6412701557644,5.56247019536982,4.6745368798385,19.3213665536822,16.570539450466,8.96257201138736,9.08884709064433,1.84918637524229,1.94718722595208,-1.11671683397324,-1.11463252007561,1.97973487884268,2.1402401349518,4.24399065317383,4.33734781526246,1
"34","Oceania","Argentina",0,34,34,8.24772627102894,0,-2.12347695046848,0.296865011270309,0,1,1,17.1144679838862,17.0224674530032,3.2687718114006,7.61793766940418,15.0109647901235,14.2825426288903,10.3285306285789,7.80802931546043,2.65829135605111,2.83941356309792,-0.424847897731198,-3.09599897352845,1.94733762118712,2.23524530447989,4.27077805922294,4.22400345931676,1
"35","Bolivia","Argentina",0,35,35,6.77447632494316,1,6.92122248501777,1.50769629757304,0,1,1,17.2852206822562,15.5941378334054,6.50188560904986,7.8339800919732,18.7321257698371,20.6031538659949,8.79758391751575,8.08682453084396,2.665417101656,1.7719791265081,-1.2705417254274,-3.05907234032121,2.04976059746239,2.01058321612416,4.38545097447562,4.24093247780067,0
"36","Brazil","Argentina",0,36,36,5.61865333464485,0,4.24616676603364,-1.06150512719015,0,2,0,17.1840518725156,17.9508303539857,4.66340305129061,5.38004526333545,14.8026198664129,18.1087936125705,8.6129315096475,8.52133248206568,1.05170100793911,1.83940679767085,-1.85100310032389,-0.534910130337584,2.3330729265349,2.35507104951755,4.16331505503054,4.25376102974848,1
"37","Chile","Argentina",0,37,37,7.75834231623575,0,2.30755964267358,-1.86958011175808,0,2,0,18.2422318346976,15.7597085909692,10.4230522375126,7.33510113408635,19.359569681617,14.3537104487895,9.61267265580106,7.91459256194404,1.29968457661592,1.70238275338041,-1.57340166892655,-3.64359575687493,2.29127517177239,1.60489109785877,4.27289835600526,4.3942948045555,1
"38","Colombia","Argentina",0,38,38,6.75223723626687,0,-3.66764329075125,0.465619480413046,0,3,1,16.5392692369652,16.230983577536,9.48539898082908,3.92862307786316,20.4836142223553,14.094175079042,9.51890710288884,8.86279264798793,2.03289739122128,2.40613834845237,-1.27896611338113,-4.97571450486986,1.58647688003914,1.80366370998408,4.41185218705988,4.2132109327463,0
"39","Ecuador","Argentina",0,39,39,4.56340439020202,0,-2.42401168186825,0.0984123445438712,0,2,0,16.7768516729482,17.637925069316,3.69541350638782,7.91520622046163,18.2238259331237,19.8963910428894,10.2146438205334,6.57100979236263,1.75554888339922,2.12278849874203,-0.475280371583034,-1.81021491234404,2.14562187389076,1.96624568864687,4.19747940923199,4.21358450614768,1
"40","Paraguay","Argentina",0,40,40,4.76754256966607,0,0.880963388805843,-0.860686555376339,0,2,1,18.3816944593466,16.0935405956347,6.06955155892487,7.84384579003706,18.1626999317342,17.8070446468158,9.05412087910076,6.15853804715667,1.94211318111396,2.49671472580092,-1.13880049216273,-1.87229207614209,2.25312834330286,2.35942528674268,4.16742930419765,4.28764814567415,0
"41","Peru","Argentina",0,41,41,8.99268734781861,0,-0.859932729934819,2.701871822868,0,2,0,21.5751194105658,16.6295666146145,10.9489122454847,6.39894863257273,19.7946744830149,17.1125721580073,6.62292525819809,8.35045948829561,1.61587860521964,1.65605349247919,-1.41823356423253,-3.25054766988201,2.03954306777575,2.11414628205462,4.32852009275149,4.30885475674764,0
"42","Uruguay","Argentina",0,42,42,7.2526366990883,0,0.857930613474611,0.439641551886607,0,2,0,18.2162418802148,16.025427249214,10.0690381420613,8.22166108008967,15.9016621568777,17.6337371526273,6.51182651110164,8.46652971218598,1.57608476490721,1.47841548740794,-1.60171775986206,-1.71943534028068,1.708311204757,1.74022852025831,4.35660400373939,4.26175145731358,0
"43","Venezuela","Argentina",0,43,43,5.42500214245822,1,4.22530590691172,0.656786730905736,0,1,1,18.5886475409986,16.8647150857536,6.6211655556458,6.83748208679972,15.9552194747972,21.8918200969055,9.4712550423479,9.00578625026021,1.89370923956199,2.10305227398712,-2.82540287953289,-0.427138373280046,1.90602317559809,1.71894697830858,4.19263124455438,4.33518420902829,0
"44","USA","Argentina",0,44,44,6.45494598589406,0,1.76312367557085,-0.209943718661269,0,2,0,19.4153040080173,16.0596366458473,6.42448795361439,7.52678526138806,16.2835619636449,19.5723615406351,9.17120243950145,8.77815713545709,1.28737816927463,2.01100402554471,-1.02361546711192,-4.38945975189192,1.7501054842887,1.96696215793451,4.24205438707187,4.10300646306046,1
"45","Spain","Argentina",0,45,45,5.6083447317443,0,-0.28901583756969,1.03386526883952,1,2,0,17.7667429856226,16.3040746683946,5.59411390849607,6.75927194541329,11.5765872618284,18.1852298549887,6.79937178655283,9.4970024964454,1.79145918696736,1.81897374448552,-0.332007606366418,1.73692815965632,2.77244649915377,2.16948754312182,4.36358764300434,4.34500779777048,0
"46","Canada","Argentina",0,46,46,2.69235988599123,1,4.35942537361844,1.23872224166751,0,2,1,16.7347349534988,16.2581870744816,5.25773987042439,7.57592302126099,19.6608477601619,18.9183634989278,8.21461319891345,7.14115721547389,2.60776058106974,1.98605547211539,-0.391821122843888,0.998625923225852,1.72637420973207,1.87937205650772,4.31332162027851,4.22325715577479,1
"47","America","Argentina",0,47,47,7.7527136501164,1,2.16526430080878,0.139810524618022,0,2,1,16.9803618469357,15.9292831103371,5.70831840239231,11.2717678720617,18.8030347639359,17.6703151920121,9.95168300754381,6.33880463350157,1.69650069575034,2.61422058152446,-0.533731341496834,0.0933892256735045,2.10343931597467,2.37340864027093,4.35344919828206,4.21820607750299,1
"48","Africa","Argentina",0,48,48,4.7619782429182,0,-1.36791018871568,-0.468310038486026,0,3,0,19.2093130572986,17.2730936664422,6.63086683361938,8.23619643570924,18.4218560517478,17.0791016406819,9.87732253595988,8.44883367546438,1.62147610993834,1.65445989295703,0.811063512926306,-3.89766681053065,1.98136112711813,2.44111009980375,4.2550977353212,4.295655476718,1
"49","Asia","Argentina",0,49,49,6.93480623298741,0,-1.23945681586769,1.60365055783745,0,3,0,15.563505025157,15.1589073467619,6.79497201620896,11.3655875829419,18.0410378693493,18.40683831283,9.76108747705817,8.86347075561762,2.2491615633661,1.51678656185998,-1.71531631374607,-1.27626578431999,2.54399594622688,1.97975194534677,4.32451898935252,4.25636653560199,1
"50","Europe","Argentina",0,50,50,3.84203055432492,0,0.12780849594051,0.979108283650153,0,3,0,19.5194315627277,17.3592476003797,7.34023238184247,6.85887812046353,18.7758320602529,15.6923073881137,10.6278467705589,8.51684782521043,1.53684838541478,1.79610675581553,-1.56807871535665,-1.51095824625769,1.94491071037474,1.79871700556192,4.49256943407556,4.19413919054232,1
"51","Oceania","Argentina",0,51,51,3.33299579092922,0,0.870925068040804,-0.26910990300331,0,3,0,20.8793472892632,18.0879699423626,10.1611951238746,15.9394391945158,17.8735998820929,17.5001730801928,7.82037863634047,8.00773643634857,2.40959968667503,2.19398051103014,-1.82919172239846,-3.01663146602354,2.10997502570206,1.9506732501107,4.11244006903781,4.26008140979951,1
"52","Bolivia","Argentina",0,52,52,5.59926036257737,0,0.767496313180182,1.37947707296192,0,2,0,20.4216350898756,16.7598600958209,11.8840243389712,7.56601201462693,18.4194345452058,14.9190072822155,8.45841445749442,7.80640770501872,3.20615447138218,1.89368169454729,-2.83242568173564,-2.17808493493726,2.14064672147936,1.94905098207826,4.30259006483445,4.35006363824775,1
"53","Brazil","Argentina",0,53,53,5.3499836627118,0,2.91969641305923,0.215153791162699,0,2,0,17.5499562820433,18.5175015710561,4.85525159171816,10.6812451168791,18.4724581903286,16.9822619817581,9.35088296233201,8.68606538430401,1.69112673259152,2.1948663600271,-1.52583280361106,-3.20516277806271,2.04073011359641,1.98214754048466,4.26875329952133,4.20452039206546,1
"54","Chile","Argentina",0,54,54,4.42699937248911,0,6.21963165649969,2.18588927401782,0,2,0,22.0839127998156,15.8621869999681,6.74554619309159,7.00835776751586,15.6805158160884,18.8639693905296,8.65857486507033,6.47759368614451,1.01141575971746,1.69671010989888,-1.75421552491855,-1.66487617467746,2.27037300261731,1.50268858336808,4.33562425977846,4.22728433365709,0
"55","Colombia","Argentina",0,55,55,5.87975132227707,0,0.402697468180053,2.01013159491601,0,2,0,18.3003909182401,17.4006385088041,7.79558816880337,5.91951183139963,19.5822130278675,16.5976640205888,9.1741464346917,7.11371633801483,2.7876343495676,1.46946350148094,0.641522056663081,-1.23594360012634,1.94759935302758,2.01205222553415,4.25596477457309,4.24659835349139,1
"56","Ecuador","Argentina",0,56,56,5.8259869733503,0,-1.94072783085962,1.68588680840164,0,2,0,15.3000109884247,16.3505538943709,11.9499856715263,9.44187909725865,20.0629329036686,18.6531445708184,10.4556438177441,10.7897300316354,2.01974545867598,1.6908142793734,-1.24662095391451,-1.52164800526079,2.46179744340475,2.17553310623001,4.33994400809312,4.2278049542669,0
"57","Paraguay","Argentina",0,57,57,6.69251982837111,0,-1.62885076011008,0.919421402150444,0,3,1,19.6460266413713,15.5750310485765,6.13741660367595,7.42632772190692,18.2694886954089,14.1648831510575,7.62136869535118,8.52183044059312,2.22032914757585,1.25152437535095,0.598318996298735,-1.07339882800148,2.39403892737932,1.88693971169213,4.26596973022016,4.26535469982317,0
"58","Peru","Argentina",0,58,58,4.0231152491806,0,0.622410291545872,3.13096058685741,0,2,1,15.5418311781874,15.1242477457773,10.0859043985775,11.145390271681,17.6974474789865,17.8361644233154,8.48650237560053,7.91033414691465,2.21800461502216,2.05032836017507,-1.00015747867265,-3.14372814006882,2.14492219607172,1.80739950915234,4.31663182578426,4.29050438570051,1
"59","Uruguay","Argentina",0,59,59,7.51398597903809,0,3.87140154268474,-0.205462518944798,0,2,0,18.6190227301218,18.1817206283994,8.10833775932898,8.05893486278592,16.7952738706791,15.3247791905263,8.11944555108227,7.96708481809941,1.35263104861879,1.59676742385286,-1.83028932357768,-2.11916448621376,2.11380194797696,1.89804113976346,4.28563643003205,4.3380949925636,1
"60","Venezuela","Argentina",0,60,60,7.86195646984492,0,-0.508464831757463,-1.40627393757856,0,3,1,14.6878568021438,15.6449048169443,8.36735817090097,10.5047965963444,17.2037729513729,18.8001492663819,8.00105117110789,6.21055164873655,1.77259844065621,1.49724579508602,0.154771936524127,-3.80653600146631,2.10591265381131,2.05462817711173,4.36829832336713,4.17489290915684,0
"61","USA","Argentina",0,61,61,6.91678325487417,0,2.21944917244726,2.10262324360194,0,2,0,15.0510209450626,16.7203107212758,8.44395221548757,12.5994302046039,23.1284518501922,11.8666772946546,13.3432188167287,8.59531343381956,2.31440294473638,2.21835806194737,-2.27674550150797,0.667446015183926,2.57938865844596,2.11139766781355,4.29014569434335,4.3105450224938,0
"62","Spain","Argentina",0,62,62,7.04334293722546,0,3.21838790922076,0.703167159203386,0,3,1,19.0090867101944,19.4765179678076,-0.691772135539297,8.32365613898615,22.8096757121975,14.8939365238997,9.26951082671596,9.08392757222366,2.32798998549589,1.91895964690969,-1.89111833605982,0.526708971721958,2.15023052336322,1.99206309207994,4.30790205524696,4.20753844404903,1
"63","Canada","Argentina",0,63,63,3.81414876883431,1,-0.0515886080696777,0.277551532078195,0,2,1,17.0034668105568,15.7871324757754,7.78740819979773,7.38717988040176,20.082107198606,27.2007229634185,9.02929868619973,8.10075843985878,1.60715111240963,2.00281866710671,-1.20323507558357,-2.23414862331017,1.99567688717819,1.76789388821334,4.24803184804572,4.17707937687514,0
"64","America","Argentina",0,64,64,6.89339575225507,0,-0.11100482467605,0.985898337514345,0,1,0,16.9811680559353,17.1259605687971,7.50104260269875,8.26613785173227,19.1706308790823,18.155812561942,9.93668868662962,7.96571016405142,2.34634745712223,1.94485322770211,-0.394967555266786,1.61175015566229,2.19167628850319,1.83272993639241,4.2960441189581,4.3146074313263,1
"65","Africa","Argentina",0,65,65,6.76808570393547,0,2.29084816881887,-1.43202671970371,0,1,0,15.0988271965721,15.4132243425603,12.5784653689048,9.51046154157212,22.4495844297245,19.3320400537424,9.57284253292877,10.0309147242312,2.05893282902146,1.19059904613156,-1.00681330716335,1.88652728860649,2.38313758068386,2.11699100540553,4.42582993609977,4.28424086123654,1
"66","Asia","Argentina",0,66,66,8.06175775203107,0,2.24703522350831,2.4079617125012,0,2,0,20.8630730569494,16.1806457394642,6.73625843033261,11.182433465577,19.0065582223742,19.1248493109947,9.16300708182877,9.50040012197048,1.75413093620753,1.704812707981,-1.93009534101392,-1.96354434643173,2.03540966711614,1.73281776693416,4.28863278987813,4.26467744138939,0
"67","Europe","Argentina",0,67,67,6.53426308169846,0,0.710869178038515,1.20511607795217,0,1,1,15.7040955719966,15.3239819833117,3.71868299492434,11.0848629608435,16.4899707895605,17.8398703092942,8.70739997253812,6.3039856993016,2.55417159074104,1.8719385360107,-0.380295564784212,1.43257315140221,2.72546200646969,1.90646556003901,4.20978861069676,4.28957614766605,1
"68","Oceania","Argentina",0,68,68,5.70948179304834,0,-1.76469899165723,1.35836306465801,0,3,1,17.8305595961177,15.9134410787134,8.14536959469222,7.78813160850223,20.5387185869031,17.3370911913786,10.2752316776455,9.33614040251333,2.88853746084518,1.25913855749785,-0.554858189955064,-3.23044599325995,2.05983499605479,2.00571745645267,4.32858601491545,4.38674574081408,0
"69","Bolivia","Argentina",0,69,69,6.52347535420316,1,5.71490589040201,0.446541471119477,0,3,0,16.0009409970717,17.2685090202136,9.42535210226124,7.9829406153127,17.1041437258821,20.4218952884064,8.73840105906931,7.01708170929465,2.48386549380216,1.73784120080306,1.3742866570182,0.446185313984029,1.89071180644732,1.76823353118917,4.14913409658785,4.26063837072364,0
"70","Brazil","Argentina",0,70,70,2.75366299300277,0,0.484961615531602,1.49395959586692,0,2,0,14.5758880975923,18.6952585844467,4.35075387418393,11.547824065873,18.1209111798434,12.8108761581401,8.22232323438263,7.08082189434999,2.41051071900334,1.56704538219168,-0.378996235278394,0.633591333652881,2.62842064889647,1.89298635470651,4.39557154496845,4.29924570627163,0
"71","Chile","Argentina",0,71,71,6.34924940565302,1,2.27055894671312,-0.608155054685514,0,1,0,19.5528274111113,19.2189114162693,9.13478532231811,13.5307957715127,23.1176102535917,20.8421461510026,7.46146765927086,9.31337365723956,2.19518604426266,2.47961198148404,-0.667077093683464,-1.8666212691758,2.14060629678687,1.50537022109363,4.33952641705514,4.24257343037198,1
"72","Colombia","Argentina",0,72,72,6.81308771001946,0,1.65409139498039,1.56806455920509,0,2,0,21.2487676098056,15.6210800712687,6.45217889637844,10.528306323353,15.0815074056471,21.4663618012587,7.32694343693716,7.27681746770083,1.39759005181761,2.92580145589468,-0.130826884443439,-3.35563460466782,1.88619329790496,2.18703671740063,4.29847586982898,4.23110989904947,1
"73","Ecuador","Argentina",0,73,73,4.99026172521543,0,-0.0960825950624224,1.40139252391371,1,1,1,20.3434113332735,16.9268043435777,8.35417244537076,9.57858396999268,15.3578845045421,19.067422472432,9.56653172437994,8.40849743991388,1.19623058974783,1.74580955900142,-0.946283744459277,-1.32536679224156,1.934182664898,1.887807892806,4.23647814328616,4.26631065538134,1
"74","Paraguay","Argentina",0,74,74,5.88941276487947,0,0.60173246161705,0.406933554076107,0,2,1,19.8969366990148,18.1419183465653,5.1828442913605,6.11535105473532,20.6822041341997,21.5246184583489,9.43501112762741,8.45008007698288,1.85654801442993,1.8465273669709,-1.67763903493984,0.81453465659868,2.20710734277895,2.34638398925364,4.33740626043289,4.30030983597377,1
"75","Peru","Argentina",0,75,75,5.28219549143832,0,0.927660362787064,0.937697331505288,0,3,1,16.5771788421126,15.8358221461015,8.21786427434399,6.93195846215978,19.5558755406328,16.2618475893549,10.8359946707979,8.68321373364432,2.38906486621675,2.3388846700124,-0.158991746013431,-0.505660148974569,2.26376925084188,2.18551943684257,4.22122339088432,4.30991699026429,0
